<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
boatman	TITLE	MISC	1
bodyguard	TITLE	MISC	1
boilermaker	TITLE	MISC	1
bookbinder	TITLE	MISC	1
bookkeeper	TITLE	MISC	1
bookseller	TITLE	MISC	1
border patrol police officer	TITLE	MISC	4
border-patrol-police-officer	TITLE	MISC	4
bounty hunter	TITLE	MISC	2
bounty-hunter	TITLE	MISC	2
boxer	TITLE	MISC	1
blacksmith	TITLE	MISC	1
brain surgeon	TITLE	MISC	2
brain-surgeon	TITLE	MISC	2
brewer	TITLE	MISC	1
bricklayer	TITLE	MISC	1
broker	TITLE	MISC	1
builder	TITLE	MISC	1
bureaucrat	TITLE	MISC	1
butcher	TITLE	MISC	1
butler	TITLE	MISC	1
cab driver	TITLE	MISC	2
cab-driver	TITLE	MISC	2
cabinetmaker	TITLE	MISC	1
caddy	TITLE	MISC	1
calligrapher	TITLE	MISC	1
cameraman	TITLE	MISC	1
captain	TITLE	MISC	1
cardinal	TITLE	MISC	1
cardiologist	TITLE	MISC	1
carpenter	TITLE	MISC	1
cartoonist	TITLE	MISC	1
cartographer	TITLE	MISC	1
cashier	TITLE	MISC	1
cellist	TITLE	MISC	1
chancellor	TITLE	MISC	1
chaplain	TITLE	MISC	1
chauffeur	TITLE	MISC	1
chess player	TITLE	MISC	2
chess-player	TITLE	MISC	2
cheesemaker	TITLE	MISC	1
chef	TITLE	MISC	1
chemist	TITLE	MISC	1
chief compliance officer	TITLE	MISC	3
chief-compliance-officer	TITLE	MISC	3
chief engineer	TITLE	MISC	2
chief-engineer	TITLE	MISC	2
chief executive officer	TITLE	MISC	3
chief-executive-officer	TITLE	MISC	3
chief financial officer	TITLE	MISC	3
chief-financial-officer	TITLE	MISC	3
chief information officer	TITLE	MISC	3
chief-information-officer	TITLE	MISC	3
chief technology officer	TITLE	MISC	3
chief-technology-officer	TITLE	MISC	3
chief privacy officer	TITLE	MISC	3
chief-privacy-officer	TITLE	MISC	3
chief of police	TITLE	MISC	3
chief-of-police	TITLE	MISC	3
