<?[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,4}>?	EMAIL	2
moldovan	NATIONALITY	MISC,COUNTRY,LOCATION	1
myanmar	NATIONALITY	MISC,COUNTRY,LOCATION	1
netherland	NATIONALITY	MISC,COUNTRY,LOCATION	1
new caledonian	NATIONALITY	MISC,COUNTRY,LOCATION	2
new-caledonian	NATIONALITY	MISC,COUNTRY,LOCATION	2
new zealander	NATIONALITY	MISC,COUNTRY,LOCATION	2
new-zealander	NATIONALITY	MISC,COUNTRY,LOCATION	2
palestinian	NATIONALITY	MISC,COUNTRY,LOCATION	1
papua new guinean	NATIONALITY	MISC,COUNTRY,LOCATION	3
papua-new-guinean	NATIONALITY	MISC,COUNTRY,LOCATION	3
philippine	NATIONALITY	MISC,COUNTRY,LOCATION	1
polynesian	NATIONALITY	MISC,COUNTRY,LOCATION	1
puerto rican	NATIONALITY	MISC,COUNTRY,LOCATION	2
puerto-rican	NATIONALITY	MISC,COUNTRY,LOCATION	2
rwandese	NATIONALITY	MISC,COUNTRY,LOCATION	1
sahraouian	NATIONALITY	MISC,COUNTRY,LOCATION	1
sahrawi	NATIONALITY	MISC,COUNTRY,LOCATION	1
sahrawian	NATIONALITY	MISC,COUNTRY,LOCATION	1
samaon	NATIONALITY	MISC,COUNTRY,LOCATION	1
sao tomean	NATIONALITY	MISC,COUNTRY,LOCATION	2
sao-tomean	NATIONALITY	MISC,COUNTRY,LOCATION	2
saudi arabian	NATIONALITY	MISC,COUNTRY,LOCATION	2
saudi-arabian	NATIONALITY	MISC,COUNTRY,LOCATION	2
scot	NATIONALITY	MISC,COUNTRY,LOCATION	1
senegales	NATIONALITY	MISC,COUNTRY,LOCATION	1
serb	NATIONALITY	MISC,COUNTRY,LOCATION	1
sierra leonean	NATIONALITY	MISC,COUNTRY,LOCATION	2
sierra-leonean	NATIONALITY	MISC,COUNTRY,LOCATION	2
solomon islander	NATIONALITY	MISC,COUNTRY,LOCATION	2
